Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1335768962810908673,You know you're depressed when it takes until 8pm before you realize you haven't had anything to eat or drink all day. Oops.,Sean,seanwoodguy,2020-12-07T02:11:52.000Z,Mon Dec 07 02:11:52 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,,,,
1335768955273752576,Me? Binging Black Butler when I start to feel even slightly depressed? Never!,E ?,BiThatDoesntTry,2020-12-07T02:11:50.000Z,Mon Dec 07 02:11:50 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,,,,
1335768954883756033,RT @danellereneau : Haha sorry I ghosted you I was depressed and wanted to die but now I’m horny wyd,??,evoldaydream,2020-12-07T02:11:50.000Z,Mon Dec 07 02:11:50 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335768948382584832,Bitch I’ve been depressed all day thinking I had an assignment due tonight. It’s not due until Wednesday.  ????,ChristinaMontego,montegotv,2020-12-07T02:11:49.000Z,Mon Dec 07 02:11:49 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335768943819063297,Y’all still wondering why you sad and depressed... oh yea you fucking with the wrong guys still??,Seth,eraofslimes,2020-12-07T02:11:48.000Z,Mon Dec 07 02:11:48 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335768936449765376,RT @danellereneau : Haha sorry I ghosted you I was depressed and wanted to die but now I’m horny wyd,Dirty Kyle,tendo_zx,2020-12-07T02:11:46.000Z,Mon Dec 07 02:11:46 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1335768932477673473,ok this is not getting the hype it deserves and by the time it does i'm gonna be depressed again so @tinyminsuu plz https://t.co/3XLbPWk0la,xan wants a bf | TMS ??,junkyubffie,2020-12-07T02:11:45.000Z,Mon Dec 07 02:11:45 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/junkyubffie/status/1335766832754511872 ,0,1,,,,,
1335768910910644233,"@LGBTAElL pls pls pls,,,i’m a poor depressed trans boy trying to smell his biases fave cologne when he listens to dk’s late night book store. FUCK",???????,ew33916902,2020-12-07T02:11:40.000Z,Mon Dec 07 02:11:40 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1335768901351735297,can’t wait for school to be over so I can be depressed in peace,? ?????? ?????????? ?,bbygrmln,2020-12-07T02:11:38.000Z,Mon Dec 07 02:11:38 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335768900873678848,depressed,kort *:??,sIeepingpiIls,2020-12-07T02:11:38.000Z,Mon Dec 07 02:11:38 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335768897627283458,RT @danellereneau : Haha sorry I ghosted you I was depressed and wanted to die but now I’m horny wyd,lil piece of sunshine??,ceesaintdarling,2020-12-07T02:11:37.000Z,Mon Dec 07 02:11:37 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335768896624861187,Sorry guys I’m depressed don’t mind me??,avani????,herefordamemes_,2020-12-07T02:11:36.000Z,Mon Dec 07 02:11:36 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335768883983085574,"RT @Jhope_Vibes : this award, know right here that I didn't feel sad, lonely or depressed this year thanks to these friends and this team. (To the members) You've worked so hard this year and I love you. Also, I'm not sure if he is looking at this right now, but I wish our Suga hyung will recover+",?? Dae ?? Happy Jin Day????,euphoriabts3013,2020-12-07T02:11:33.000Z,Mon Dec 07 02:11:33 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335768870854995969,"RT @politvidchannel : Trump Advisers are saying Trump is ‘Moody,’ ‘Depressed,’ and Barely Showing Up to Work",Geri Faillace,crzy4joe,2020-12-07T02:11:30.000Z,Mon Dec 07 02:11:30 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1335768846599393281,I’m so depressed at this point I can’t even joking about it Bc I’m in actually pain,Eli??,elitherat,2020-12-07T02:11:25.000Z,Mon Dec 07 02:11:25 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335768843323502593,"pls??? i am not depressed??? this js make ppl self diagnose through an online test, OH I CAN IMAGINE THOSE GIRLS WHO SAYS “im depressed, i took an online test” anw this isn’t accurate bc gw ga merasa depresi??/$$:&amp;: https://t.co/8mJ8nwvqFF",cintå ? ?,14JAEO2,2020-12-07T02:11:24.000Z,Mon Dec 07 02:11:24 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/EomarnOUcAMSuOF.jpg,,,
1335768839624253441,im insanely depressed right now... #SundayNightFootball,CoreyThomas,HottTime09,2020-12-07T02:11:23.000Z,Mon Dec 07 02:11:23 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,,,,,
1335768828836524032,@Ietmeshine @Kiradontmiss @g7byy @snootid @JefferyxBball @albert12798 And @kayykardashhh just for the nudes,Ismail ????????,depressed_AFC,2020-12-07T02:11:20.000Z,Mon Dec 07 02:11:20 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,7,,,,,
